city,lat,lon,year,month,avg_rainfall
Agartala,23.83,91.28,2025,6,13.555
Agartala,23.83,91.28,2025,7,15.514193548387096
Agartala,23.83,91.28,2025,8,13.23741935483871
Agartala,23.83,91.28,2025,9,11.399333333333335
Agartala,23.83,91.28,2025,10,6.396129032258065
Agartala,23.83,91.28,2025,11,1.1963333333333332
Agartala,23.83,91.28,2025,12,0.008064516129032258
Agartala,23.83,91.28,2026,1,0.0
Agartala,23.83,91.28,2026,2,0.010714285714285716
Agartala,23.83,91.28,2026,3,5.762903225806451
Agartala,23.83,91.28,2026,4,11.369666666666665
Agartala,23.83,91.28,2026,5,15.925161290322581
Agartala,23.83,91.28,2026,6,13.225333333333333
Agartala,23.83,91.28,2026,7,19.00548387096774
Agartala,23.83,91.28,2026,8,9.143
Aizawl,23.73,92.71,2015,1,0.15
Aizawl,23.73,92.71,2015,2,0.72
Aizawl,23.73,92.71,2015,3,1.03
Aizawl,23.73,92.71,2015,4,9.63
Aizawl,23.73,92.71,2015,5,7.8
Aizawl,23.73,92.71,2015,6,12.65
Aizawl,23.73,92.71,2015,7,25.13
Aizawl,23.73,92.71,2015,8,13.47
Aizawl,23.73,92.71,2015,9,9.02
Aizawl,23.73,92.71,2015,10,4.99
Aizawl,23.73,92.71,2015,11,0.27
Aizawl,23.73,92.71,2015,12,0.04
Aizawl,23.73,92.71,2016,1,0.07
Aizawl,23.73,92.71,2016,2,1.51
Aizawl,23.73,92.71,2016,3,3.0
Aizawl,23.73,92.71,2016,4,5.09
Aizawl,23.73,92.71,2016,5,13.98
Aizawl,23.73,92.71,2016,6,10.08
Aizawl,23.73,92.71,2016,7,14.14
Aizawl,23.73,92.71,2016,8,13.41
Aizawl,23.73,92.71,2016,9,12.13
Aizawl,23.73,92.71,2016,10,8.26
Aizawl,23.73,92.71,2016,11,5.83
Aizawl,23.73,92.71,2016,12,0.03
Aizawl,23.73,92.71,2017,1,0.08
Aizawl,23.73,92.71,2017,2,0.38
Aizawl,23.73,92.71,2017,3,6.53
Aizawl,23.73,92.71,2017,4,17.46
Aizawl,23.73,92.71,2017,5,10.8
Aizawl,23.73,92.71,2017,6,30.04
Aizawl,23.73,92.71,2017,7,26.31
Aizawl,23.73,92.71,2017,8,27.17
Aizawl,23.73,92.71,2017,9,16.84
Aizawl,23.73,92.71,2017,10,11.63
Aizawl,23.73,92.71,2017,11,0.28
Aizawl,23.73,92.71,2017,12,3.4
Aizawl,23.73,92.71,2018,1,0.46
Aizawl,23.73,92.71,2018,2,0.46
Aizawl,23.73,92.71,2018,3,1.11
Aizawl,23.73,92.71,2018,4,9.62
Aizawl,23.73,92.71,2018,5,14.02
Aizawl,23.73,92.71,2018,6,25.74
Aizawl,23.73,92.71,2018,7,13.73
Aizawl,23.73,92.71,2018,8,12.19
Aizawl,23.73,92.71,2018,9,9.7
Aizawl,23.73,92.71,2018,10,4.15
Aizawl,23.73,92.71,2018,11,0.52
Aizawl,23.73,92.71,2018,12,0.63
Aizawl,23.73,92.71,2019,1,0.0
Aizawl,23.73,92.71,2019,2,2.12
Aizawl,23.73,92.71,2019,3,2.5
Aizawl,23.73,92.71,2019,4,3.69
Aizawl,23.73,92.71,2019,5,11.18
Aizawl,23.73,92.71,2019,6,9.71
Aizawl,23.73,92.71,2019,7,35.28
Aizawl,23.73,92.71,2019,8,12.77
Aizawl,23.73,92.71,2019,9,10.73
Aizawl,23.73,92.71,2019,10,8.51
Aizawl,23.73,92.71,2019,11,3.75
Aizawl,23.73,92.71,2019,12,0.31
Aizawl,23.73,92.71,2020,1,2.29
Aizawl,23.73,92.71,2020,2,0.17
Aizawl,23.73,92.71,2020,3,0.36
Aizawl,23.73,92.71,2020,4,7.14
Aizawl,23.73,92.71,2020,5,11.68
Aizawl,23.73,92.71,2020,6,14.44
Aizawl,23.73,92.71,2020,7,12.91
Aizawl,23.73,92.71,2020,8,7.88
Aizawl,23.73,92.71,2020,9,11.03
Aizawl,23.73,92.71,2020,10,11.51
Aizawl,23.73,92.71,2020,11,1.39
Aizawl,23.73,92.71,2020,12,0.0
Aizawl,23.73,92.71,2021,1,0.1
Aizawl,23.73,92.71,2021,2,0.0
Aizawl,23.73,92.71,2021,3,0.92
Aizawl,23.73,92.71,2021,4,2.03
Aizawl,23.73,92.71,2021,5,8.06
Aizawl,23.73,92.71,2021,6,12.91
Aizawl,23.73,92.71,2021,7,13.77
Aizawl,23.73,92.71,2021,8,12.25
Aizawl,23.73,92.71,2021,9,9.68
Aizawl,23.73,92.71,2021,10,5.55
Aizawl,23.73,92.71,2021,11,1.09
Aizawl,23.73,92.71,2021,12,2.64
Aizawl,23.73,92.71,2022,1,0.64
Aizawl,23.73,92.71,2022,2,1.07
Aizawl,23.73,92.71,2022,3,0.71
Aizawl,23.73,92.71,2022,4,2.02
Aizawl,23.73,92.71,2022,5,12.99
Aizawl,23.73,92.71,2022,6,14.04
Aizawl,23.73,92.71,2022,7,9.28
Aizawl,23.73,92.71,2022,8,9.87
Aizawl,23.73,92.71,2022,9,11.55
Aizawl,23.73,92.71,2022,10,7.93
Aizawl,23.73,92.71,2022,11,0.04
Aizawl,23.73,92.71,2022,12,0.33
Aizawl,23.73,92.71,2023,1,0.0
Aizawl,23.73,92.71,2023,2,0.01
Aizawl,23.73,92.71,2023,3,4.41
Aizawl,23.73,92.71,2023,4,3.1
Aizawl,23.73,92.71,2023,5,3.89
Aizawl,23.73,92.71,2023,6,14.02
Aizawl,23.73,92.71,2023,7,6.36
Aizawl,23.73,92.71,2023,8,17.92
Aizawl,23.73,92.71,2023,9,11.31
Aizawl,23.73,92.71,2023,10,4.47
Aizawl,23.73,92.71,2023,11,3.68
Aizawl,23.73,92.71,2023,12,1.16
Aizawl,23.73,92.71,2024,1,0.11
Aizawl,23.73,92.71,2024,2,1.26
Aizawl,23.73,92.71,2024,3,3.69
Aizawl,23.73,92.71,2024,4,2.82
Aizawl,23.73,92.71,2024,5,16.74
Aizawl,23.73,92.71,2024,6,21.11
Aizawl,23.73,92.71,2024,7,13.02
Aizawl,23.73,92.71,2024,8,28.17
Aizawl,23.73,92.71,2024,9,11.98
Aizawl,23.73,92.71,2024,10,9.52
Aizawl,23.73,92.71,2024,11,0.72
Aizawl,23.73,92.71,2024,12,0.06
Aizawl,23.73,92.71,2025,1,0.013548387096774193
Aizawl,23.73,92.71,2025,2,0.052142857142857144
Aizawl,23.73,92.71,2025,3,0.3412903225806452
Aizawl,23.73,92.71,2025,4,5.62
Aizawl,23.73,92.71,2025,5,19.062903225806455
Aizawl,23.73,92.71,2025,6,15.567333333333332
Aizawl,23.73,92.71,2025,7,18.240322580645163
Aizawl,23.73,92.71,2025,8,13.716451612903226
Aizawl,23.73,92.71,2025,9,12.169
Aizawl,23.73,92.71,2025,10,7.374516129032258
Aizawl,23.73,92.71,2025,11,1.1803333333333332
Aizawl,23.73,92.71,2025,12,0.10870967741935485
Aizawl,23.73,92.71,2026,1,0.0
Aizawl,23.73,92.71,2026,2,0.010714285714285714
Aizawl,23.73,92.71,2026,3,3.678064516129032
Aizawl,23.73,92.71,2026,4,8.147
Aizawl,23.73,92.71,2026,5,12.171612903225807
Aizawl,23.73,92.71,2026,6,12.394333333333332
Aizawl,23.73,92.71,2026,7,19.468709677419355
Aizawl,23.73,92.71,2026,8,13.416666666666666
Gangtok,27.33,88.61,2015,1,0.24
Gangtok,27.33,88.61,2015,2,0.29
Gangtok,27.33,88.61,2015,3,1.06
Gangtok,27.33,88.61,2015,4,1.86
Gangtok,27.33,88.61,2015,5,2.8
Gangtok,27.33,88.61,2015,6,5.97
Gangtok,27.33,88.61,2015,7,5.29
Gangtok,27.33,88.61,2015,8,8.47
Gangtok,27.33,88.61,2015,9,4.57
Gangtok,27.33,88.61,2015,10,0.51
Gangtok,27.33,88.61,2015,11,0.04
Gangtok,27.33,88.61,2015,12,0.03
Gangtok,27.33,88.61,2016,1,0.27
Gangtok,27.33,88.61,2016,2,0.2
Gangtok,27.33,88.61,2016,3,2.25
Gangtok,27.33,88.61,2016,4,3.51
Gangtok,27.33,88.61,2016,5,6.31
Gangtok,27.33,88.61,2016,6,9.44
Gangtok,27.33,88.61,2016,7,13.37
Gangtok,27.33,88.61,2016,8,6.03
Gangtok,27.33,88.61,2016,9,8.77
Gangtok,27.33,88.61,2016,10,2.6
Gangtok,27.33,88.61,2016,11,0.0
Gangtok,27.33,88.61,2016,12,0.0
Gangtok,27.33,88.61,2017,1,0.14
Gangtok,27.33,88.61,2017,2,0.17
Gangtok,27.33,88.61,2017,3,2.67
Gangtok,27.33,88.61,2017,4,3.83
Gangtok,27.33,88.61,2017,5,5.95
Gangtok,27.33,88.61,2017,6,6.36
Gangtok,27.33,88.61,2017,7,9.94
Gangtok,27.33,88.61,2017,8,11.59
Gangtok,27.33,88.61,2017,9,5.52
Gangtok,27.33,88.61,2017,10,1.83
Gangtok,27.33,88.61,2017,11,0.13
Gangtok,27.33,88.61,2017,12,0.0
Gangtok,27.33,88.61,2018,1,0.02
Gangtok,27.33,88.61,2018,2,0.47
Gangtok,27.33,88.61,2018,3,1.92
Gangtok,27.33,88.61,2018,4,3.54
Gangtok,27.33,88.61,2018,5,5.85
Gangtok,27.33,88.61,2018,6,7.08
Gangtok,27.33,88.61,2018,7,10.28
Gangtok,27.33,88.61,2018,8,12.37
Gangtok,27.33,88.61,2018,9,6.72
Gangtok,27.33,88.61,2018,10,0.73
Gangtok,27.33,88.61,2018,11,0.16
Gangtok,27.33,88.61,2018,12,0.48
Gangtok,27.33,88.61,2019,1,0.07
Gangtok,27.33,88.61,2019,2,1.37
Gangtok,27.33,88.61,2019,3,1.69
Gangtok,27.33,88.61,2019,4,4.33
Gangtok,27.33,88.61,2019,5,5.43
Gangtok,27.33,88.61,2019,6,7.4
Gangtok,27.33,88.61,2019,7,14.44
Gangtok,27.33,88.61,2019,8,8.47
Gangtok,27.33,88.61,2019,9,7.96
Gangtok,27.33,88.61,2019,10,1.07
Gangtok,27.33,88.61,2019,11,0.06
Gangtok,27.33,88.61,2019,12,0.29
Gangtok,27.33,88.61,2020,1,0.7
Gangtok,27.33,88.61,2020,2,0.88
Gangtok,27.33,88.61,2020,3,2.59
Gangtok,27.33,88.61,2020,4,3.71
Gangtok,27.33,88.61,2020,5,5.45
Gangtok,27.33,88.61,2020,6,12.56
Gangtok,27.33,88.61,2020,7,18.57
Gangtok,27.33,88.61,2020,8,9.8
Gangtok,27.33,88.61,2020,9,12.73
