event_id,lat,lon,year,month,rainfall,rainfall_unit,rainfall_city,elevation,slope,terrain_distance_km,event_observed,sample_type
,28.838701,93.808322,2015,7,9.851,mm/day monthly mean,Itanagar,4230.0,5.203,19.163,0,background_no_record
,26.069861,91.662624,2010,7,10.155,mm/day monthly mean,Guwahati,51.0,1.609,44.165,0,background_no_record
,22.726275,89.292683,2013,7,6.835,mm/day monthly mean,Agartala,4.0,0.028,32.354,0,background_no_record
,25.662201,95.498704,2015,7,11.474,mm/day monthly mean,Kohima,2295.0,3.184,50.244,0,background_no_record
,29.265584,96.431211,2010,10,2.337,mm/day monthly mean,Itanagar,2741.0,3.033,66.616,0,background_no_record
2026.0,25.4916,91.2698,2010,6,21.761,mm/day monthly mean,Shillong,829.0,1.198,36.282,1,catalogued_landslide
7036.0,26.8352,88.1881,2015,7,5.286,mm/day monthly mean,Gangtok,1651.0,4.124,22.295,1,catalogued_landslide
,22.423921,87.71148,2013,8,8.056,mm/day monthly mean,Agartala,6.0,0.025,36.66,0,background_no_record
4424.0,26.149,91.7351,2012,6,20.722,mm/day monthly mean,Guwahati,51.0,1.609,33.012,1,catalogued_landslide
,23.197179,92.198009,2015,8,13.468,mm/day monthly mean,Aizawl,170.0,1.266,20.69,0,background_no_record
,29.444677,93.346388,2015,8,16.256,mm/day monthly mean,Itanagar,4375.0,4.276,79.189,0,background_no_record
,26.220607,88.450492,2012,6,3.636,mm/day monthly mean,Gangtok,59.0,2.32,46.449,0,background_no_record
,27.367959,96.283657,2015,7,9.851,mm/day monthly mean,Itanagar,167.0,3.515,35.474,0,background_no_record
3944.0,27.7344,88.633,2011,8,8.152,mm/day monthly mean,Gangtok,3787.0,4.841,40.813,1,catalogued_landslide
2113.0,27.3773,88.559,2010,7,10.173,mm/day monthly mean,Gangtok,3787.0,4.841,48.207,1,catalogued_landslide
5582.0,26.1309,91.8383,2013,10,6.867,mm/day monthly mean,Guwahati,51.0,1.609,27.122,1,catalogued_landslide
1857.0,25.3433,92.2897,2010,5,15.406,mm/day monthly mean,Shillong,15.0,1.488,40.452,1,catalogued_landslide
1771.0,26.1978,91.7665,2010,4,12.283,mm/day monthly mean,Guwahati,51.0,1.609,27.359,1,catalogued_landslide
,28.772519,92.795421,2007,9,11.856,mm/day monthly mean,Itanagar,4375.0,4.276,20.17,0,background_no_record
,21.681697,88.400479,2015,8,11.574,mm/day monthly mean,Agartala,5.0,0.001,54.418,0,background_no_record
1929.0,27.3543,88.6428,2010,5,4.33,mm/day monthly mean,Gangtok,3787.0,4.841,42.259,1,catalogued_landslide
2575.0,25.5242,92.9914,2010,10,6.01,mm/day monthly mean,Shillong,133.0,2.358,20.567,1,catalogued_landslide
,24.041085,88.281084,2012,6,11.531,mm/day monthly mean,Agartala,22.0,0.017,35.271,0,background_no_record
,28.868458,92.536329,2015,8,16.256,mm/day monthly mean,Itanagar,4375.0,4.276,45.803,0,background_no_record
,23.631707,88.897684,2015,6,12.299,mm/day monthly mean,Agartala,12.0,0.025,26.925,0,background_no_record
,23.74987,94.094226,2012,4,6.967,mm/day monthly mean,Imphal,1295.0,1.654,15.118,0,background_no_record
1168.0,27.1954,88.6115,2009,9,2.412,mm/day monthly mean,Gangtok,465.0,5.853,47.486,1,catalogued_landslide
,24.657039,90.691325,2014,9,10.014,mm/day monthly mean,Agartala,5.0,0.111,37.326,0,background_no_record
5431.0,24.9829,93.5063,2013,9,8.148,mm/day monthly mean,Imphal,1000.0,1.887,51.17,1,catalogued_landslide
2424.0,23.591,92.9296,2010,9,6.911,mm/day monthly mean,Aizawl,580.0,1.042,30.218,1,catalogued_landslide
,24.602734,93.908886,2009,10,4.85,mm/day monthly mean,Imphal,788.0,0.874,17.118,0,background_no_record
,21.966422,90.313839,2016,6,9.116,mm/day monthly mean,Agartala,9.0,0.013,32.575,0,background_no_record
,22.327224,93.376446,2007,8,7.636,mm/day monthly mean,Aizawl,1039.0,1.472,50.414,0,background_no_record
,27.800719,89.351793,2010,6,5.242,mm/day monthly mean,Gangtok,3787.0,4.841,43.506,0,background_no_record
